Table: Total Primary Energy Consumption per Capita (Million Btu per Person);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
North America;;285.68409;276.84427;263.65569;259.14797;269.07466;266.9522;264.54911;269.62722;278.30364;281.80502;276.28537;273.42016;274.12172;275.33544;277.33548;278.97942;284.47026;282.99072;280.58912;283.12384;286.03109;276.05554;277.32785;276.85265;279.89973;278.94118;275.20085;276.55489;269.18362;253.64162
Bermuda;;144.99507;124.85659;131.74304;138.84985;134.69285;131.85953;123.82718;173.92252;188.9909;228.79749;160.53691;138.57255;110.23853;117.25706;124.38382;122.59727;123.24501;122.41823;121.36946;120.34428;118.96492;117.04571;117.20732;125.76214;133.05066;140.64392;138.71009;152.11966;145.63108;147.73336
Canada;;394.20071;385.12116;365.30462;361.00634;380.69733;391.35332;391.32617;398.71649;411.00785;409.10717;395.05809;395.33755;401.41006;404.15382;409.82813;411.29086;417.96903;417.25878;403.95526;420.6311;420.00803;410.10562;413.75684;423.98531;430.41498;437.43882;423.11007;427.2311;420.0606;389.47297
Greenland;;157.53692;146.15335;139.70256;96.94705;151.90734;134.32146;86.04597;61.99515;141.72183;121.09299;141.54832;140.31618;123.89525;127.33865;128.5979;127.99823;129.24865;131.95518;133.61064;133.41504;135.70245;139.36854;140.31681;140.64;140.95177;143.42677;146.85465;143.55009;159.34193;146.9125
Mexico;;54.40504;58.73276;60.30758;55.19914;55.52967;57.34561;55.15554;55.72029;55.48931;57.41821;54.80805;57.40878;57.53635;57.27318;58.52203;56.62046;58.0192;58.83579;61.05407;61.38158;63.3563;62.15181;61.41323;62.10105;61.1796;63.32475;67.8547;66.1905;66.00178;62.90241
Saint Pierre and Miquelon;;366.44407;366.97705;335.70365;363.18736;354.11553;310.76473;385.89639;489.64025;508.46265;579.01861;567.22395;537.84276;499.80162;272.68993;285.23787;189.84663;189.18022;129.41915;149.85835;149.7884;163.57035;151.0813;152.0357;166.90575;181.25675;188.57905;191.65624;200;202.5936;246.97765
United States;;343.56604;331.66502;315.53909;312.11742;324.95186;321.07928;319.18583;326.28178;338.2804;343.51437;338.45128;333.7721;334.41721;336.34991;338.58849;341.85671;349.01265;346.97708;344.44987;346.37296;350.19192;337.33544;339.27663;337.47399;341.7953;339.07048;333.69515;335.9772;326.16915;307.96362
South America;;39.3558;38.35712;37.51245;36.29235;37.87983;37.86199;39.39108;39.45946;39.65736;40.20113;40.35614;41.32153;41.13366;36.70023;43.76143;44.95998;46.56661;48.13686;49.04774;48.74062;49.31726;49.33799;48.66814;49.03573;50.46299;51.37463;53.1588;53.14042;54.65113;53.19602
Antarctica;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
